Model,Split,AUROC,AUPRC,Brier Score,ECE,Sensitivity @90%,Specificity @90%,PPV @90%,NPV @90%
XGBoost,Train,0.7761888880596077,0.27771124294589733,0.05228865432236159,0.01199173278015668,0.9001919385796545,0.3891363838859543,0.08902386940634936,0.9832757095762644
XGBoost,Val,0.7272981589762565,0.16102127737076943,0.05516629303539162,0.004221652473110732,0.9008810572687225,0.33641752204713027,0.08181636327265453,0.9810286677908938
XGBoost,Test,0.7017663744526561,0.1841623784286783,0.061289518485294604,0.00538548348195425,0.9008264462809917,0.273932480345306,0.08472600077730276,0.9736986301369863
MLP,Train,0.5052055537225861,0.06341568177612697,0.05880438182555109,0.013189432754088303,0.9001919385796545,0.0959078470056641,0.061938721605916534,0.9354438237119801
MLP,Val,0.6592154042998194,0.11581877086655462,0.05683745566579552,0.01368169585789153,0.9008810572687225,0.21656787624692786,0.07017844886753603,0.9708360337005832
MLP,Test,0.6606402569920515,0.13801031150295323,0.06320440917638986,0.01566021569598112,0.9008264462809917,0.23739787266841375,0.08099572728961546,0.9697732997481109
