Model,IRM Lambda,Best AUC-ROC,Final AUC-ROC,Final AUC-PR,Final Accuracy
IRM_lambda1.0,1.0,0.6918085201818864,0.6918085201818864,0.2505604372162835,0.8745167694075854
IRM_lambda0.01,0.01,0.6908385837556499,0.6908385837556499,0.25087469707832394,0.8750391808588445
IRM_lambda0.1,0.1,0.6900185807279464,0.6900185807279464,0.2564151734115441,0.8754571100198516
IRM_lambda10.0,10.0,0.6884798485507473,0.6884798485507473,0.2489036906608652,0.8746212516978372
ERM,0.0,0.6861392855741143,0.6861392855741143,0.253396804905196,0.875770556890607
