feature_i,feature_j,correlation,abs_correlation
6,30,-0.19463694666083312,0.19463694666083312
46,57,-0.17209660083357542,0.17209660083357542
29,46,-0.1702433347450349,0.1702433347450349
17,38,-0.1674014531544257,0.1674014531544257
17,42,0.16243091175248958,0.16243091175248958
53,54,0.16112378110952563,0.16112378110952563
10,17,0.15495574543102927,0.15495574543102927
43,49,-0.15343900863641266,0.15343900863641266
57,63,-0.15228504455493153,0.15228504455493153
30,54,0.15154827669820428,0.15154827669820428
36,50,-0.1492083705282531,0.1492083705282531
26,58,-0.14894226164612,0.14894226164612
32,56,0.14868980492605527,0.14868980492605527
3,37,-0.14714591821668455,0.14714591821668455
43,52,-0.1443970482210948,0.1443970482210948
4,9,0.14422992611337393,0.14422992611337393
52,60,0.14311413151477734,0.14311413151477734
13,49,0.1428225778068658,0.1428225778068658
9,47,0.1424496543714552,0.1424496543714552
32,44,-0.14168642926907923,0.14168642926907923
13,35,-0.14057630809989508,0.14057630809989508
29,61,-0.13981596487148304,0.13981596487148304
33,47,-0.13910967564918947,0.13910967564918947
0,54,0.13727740655618867,0.13727740655618867
16,50,-0.1368422764490667,0.1368422764490667
15,44,0.13623294750394077,0.13623294750394077
55,63,0.13561996206378085,0.13561996206378085
18,29,-0.1353549459028716,0.1353549459028716
29,51,-0.13528463420425027,0.13528463420425027
0,58,0.1347026446101874,0.1347026446101874
14,28,-0.13455773971040016,0.13455773971040016
3,62,0.13453666315835183,0.13453666315835183
17,46,0.13414742979228722,0.13414742979228722
28,53,0.13280486280675147,0.13280486280675147
32,47,0.1321660692612823,0.1321660692612823
19,42,-0.13038449513404674,0.13038449513404674
8,16,0.12914570089815652,0.12914570089815652
24,59,-0.12886641584224823,0.12886641584224823
37,50,0.12876248689153522,0.12876248689153522
22,30,-0.1280758379705035,0.1280758379705035
30,46,-0.12780151433665862,0.12780151433665862
19,37,-0.12775420499371284,0.12775420499371284
4,60,-0.12768768766110258,0.12768768766110258
44,58,0.12758527383879822,0.12758527383879822
0,38,0.12740126674248498,0.12740126674248498
6,32,0.1270602614578989,0.1270602614578989
21,49,0.12692138459420788,0.12692138459420788
11,20,0.1263810273276639,0.1263810273276639
4,28,-0.1260859085915524,0.1260859085915524
2,52,0.12599552503265007,0.12599552503265007
1,21,0.12568655457751313,0.12568655457751313
2,51,0.12539085173136932,0.12539085173136932
6,37,-0.12523991349572686,0.12523991349572686
4,57,-0.1250942398936428,0.1250942398936428
1,48,-0.12453742199389302,0.12453742199389302
34,40,0.12379250704722218,0.12379250704722218
51,59,0.1235699261180597,0.1235699261180597
6,22,0.12319616294839224,0.12319616294839224
29,42,0.12226053714685846,0.12226053714685846
20,32,-0.1219459023532867,0.1219459023532867
3,39,-0.12166824957056821,0.12166824957056821
45,54,-0.12157854611020863,0.12157854611020863
44,54,0.12147735903033387,0.12147735903033387
39,57,0.12130856184320656,0.12130856184320656
2,42,0.12108899935011073,0.12108899935011073
43,55,-0.1209238900456455,0.1209238900456455
